,season_idx,episode_idx,character,utterance
270,0,0,BENJEN,Jon…
271,0,0,JON,"Father will let me if you ask him, I know he will."
272,0,0,BENJEN,The Wall isn’t going anywhere.
273,0,0,JON,I’m ready to swear your oath.
274,0,0,BENJEN,You don’t understand what you’d be giving up. We have no families. None of us will ever father sons.
275,0,0,JON,I don’t care about that.
276,0,0,BENJEN,"You might, if you knew what it meant. … I’d better get inside. Rescue your father from his guests. We’ll talk later."
277,0,0,SCENE,[BENJEN goes to the banquet.]
278,0,0,TYRION,Your uncle’s in the Night’s Watch.
279,0,0,JON,What’re you doing back there? TYRION (drinking): Preparing for a night with your family. I’ve always wanted to see the Wall.
280,0,0,JON,You’re Tyrion Lannister. The queen’s brother?
281,0,0,TYRION,"My greatest accomplishment. You – you’re Ned Stark’s bastard, aren’t you?"
282,0,0,SCENE,[JON looks angry and turns away.]
283,0,0,TYRION,"Did I offend you? Sorry. You are the bastard, though."
284,0,0,JON,Lord Eddard Stark is my father.
285,0,0,TYRION,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
286,0,0,JON,What the hell do you know about being a bastard?
287,0,0,TYRION,All dwarves are bastards in their fathers’ eyes.
288,0,0,SCENE,[TYRION departs. JON picks up his sword and attacks the dummy with new ferocity.]
289,0,0,SCENE,"[The scene shifts back to the banquet, in full raucous swing. NED is off to himself; BENJEN comes up to him.]"
290,0,0,BENJEN,You at a feast -- It’s like a bear in a trap.
291,0,0,NED,The boy I beheaded. Did you know him?
292,0,0,BENJEN,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger."
293,0,0,NED,He was talking madness. Said the Walkers slaughtered his friends.
294,0,0,BENJEN,The two he was with are still missing.
295,0,0,NED,A wildling ambush.
296,0,0,BENJEN,Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.
297,0,0,NED,Winter is coming.
298,0,0,SCENE,[ROBB approaches.]
299,0,0,ROBB,Uncle Benjen.
300,0,0,BENJEN,Robb boy. How are ye?
301,0,0,ROBB,I’m good.
302,0,0,SCENE,"[KING ROBERT gets even more bawdy with a wench.] CATELYN (in desperation) Is this your first time in the North, Your Grace?"
303,0,0,CERSEI,Yes. Lovely country.
304,0,0,SCENE,[They observe SANSA.]
305,0,0,CATELYN,"I’m sure it’s very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
306,0,0,SCENE,[SANSA approaches and smiles shyly at CERSEI.]
307,0,0,CERSEI,"Hello, little dove. But you are a beauty. How old are you?"
308,0,0,SANSA,"Thirteen, Your Grace."
309,0,0,CERSEI,You’re tall. Still growing?
310,0,0,SANSA,"I think so, Your Grace."
311,0,0,CERSEI,"And have you bled yet? SANSA (discomfited): No, Your Grace."
312,0,0,CERSEI,And your dress. Did you make it?
313,0,0,SCENE,[SANSA nods yes.]
314,0,0,CERSEI,Such talent. You must make something for me.
315,0,0,SCENE,[SANSA departs.] CERSEI (to CATELYN): I hear we might share a grandchild someday.
316,0,0,CATELYN,I hear the same.
317,0,0,CERSEI,Your daughter will do well in the capital. Such a beauty shouldn’t stay hidden up here forever.
318,0,0,SCENE,[SANSA and JOFFREY catch each other’s eye. JOFFREY smiles at her and she turns to her friend.]
319,0,0,SCENE,[JAIME and NED meet up. JAIME blocks their path.]
320,0,0,NED,Your pardon.
321,0,0,JAIME,I hear we might be neighbors soon. I hope it’s true.
322,0,0,NED,"Yes, the king has honored me with his offer."
323,0,0,JAIME,"I’m sure we’ll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale."
324,0,0,NED,I don’t fight in tournaments.
325,0,0,JAIME,No? Getting a little old for it?
326,0,0,NED,"I don’t fight in tournaments because when I fight a man for real, I don’t want him to know what I can do."
327,0,0,JAIME,Well said.
328,0,0,SCENE,[ARYA flips food onto SANSA’s face.]
329,0,0,SANSA,Arya!
330,0,0,SCENE,[CATELYN signals a laughing ROBB to deal with the girls. He hoists up ARYA.]
331,0,0,ROBB,Time for bed.
332,0,0,SCENE,[The scene shifts to after the banquet. NED and CATELYN are in their bed.]
333,0,0,NED,"I’m a Northman. I belong here with you, not down south in that rat’s nest they call a capital."
334,0,0,CATELYN,I won’t let him take you.
335,0,0,NED,The king takes what he wants. That’s why he’s king.
336,0,0,CATELYN,"I’ll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.’"
337,0,0,NED,How did he get so fat?
338,0,0,CATELYN,He only stops eating when it’s time for a drink.
339,0,0,SCENE,[There’s a knock at the door.]
340,0,0,A VOICE,"It’s Maester Luwin, my lord."
341,0,0,NED,Send him in.
342,0,0,LUWIN,"Pardon, my lord, my lady. A rider in the night from your sister."
343,0,0,SCENE,[He hands CATELYN a sealed note.]
344,0,0,NED,Stay.
345,0,0,CATELYN,This was sent from the Eyrie. What’s she doing at the Eyrie? She hasn’t been back there since her wedding.
346,0,0,SCENE,"[CATELYN reads the note, looks up in alarm, and then burns it.]"
347,0,0,NED,What news?
348,0,0,CATELYN,She’s fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.
349,0,0,NED,"She’s fresh widowed, Cat. She doesn’t know what she’s saying."
350,0,0,CATELYN,"Lysa’s head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son’s life, if she wasn’t certain her husband was murdered?"
351,0,0,LUWIN,"If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?"
352,0,0,CATELYN,They murdered the last Hand. Now you want Ned to take the job.
353,0,0,LUWIN,"The king rode for a month to ask Lord Stark’s help. He’s the only one he trusts. You swore the king an oath, my lord."
354,0,0,CATELYN,He spent half his life fighting Robert’s wars. He owes him nothing. (To NED) Your father and brother rode south once on a king’s demand.
355,0,0,LUWIN,A different time. Different king.
356,0,0,SCENE,[The scene shifts to the wild wedding celebration of KHAL DROGO and DAENERYS. Fighting and fornication. DAENERYS looks stricken at everything around her.]
357,0,0,VISERYS,When do I meet with the Khal? We need to begin planning the invasion.
358,0,0,ILLYRIO,"If Khal Drogo has promised you a crown, you shall have it."
359,0,0,VISERYS,When?
360,0,0,ILLYRIO,When their omens favor war.
361,0,0,VISERYS,I piss on Dothraki omens. I waited 17 years to get my throne back.
362,0,0,SCENE,[The sex and violence intensify. Two men fight to the death over a woman each is trying to rape. KHAL DROGO watches avidly.]
363,0,0,ILLYRIO,A Dothraki wedding without at least three deaths is considered a dull affair.
364,0,0,SCENE,"[A knight in Westerosi garb appears. KHAL DROGO greets him in Dothraki. It is JORAH MORMONT, bearing books.]"
365,0,0,JORAH,A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.
366,0,0,DAENERYS,"Thank you, ser. Are you from my country?"
